file_name,page_number,physical_page_label,page_type,content_description,indigenous_officials_mentioned,indigenous_nations_mentioned,colonial_officials_mentioned,date_referenced,text_legibility,notable_physical_features,language,historical_significance_notes,
TreatyofFriendshipwithSixNations_1737_BFranklin1.jpg,,n/a,cover page,none,none,none,none,n/a,n/a,maroon book cover,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin2.jpg,,Ben Franklin Publishing stamp,stamp page,none,none,none,none,n/a,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin3.jpg,,n/a,blank page,none,none,none,none,n/a,n/a,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin4.jpg,,n/a,blank page,none,none,none,none,n/a,n/a,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin5.jpg,1,n/a,title page,title page of the treaty,none,Six Nations,none,September and October 1736; 1737,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin6.jpg,2,n/a,blank page,none,none,none,none, ,Low,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin7.jpg,3,n/a,content page,description of people present during the council,"Kanickbungo, Togachshaboloo, Sagbyatundachquai, Askotax, Hetaquantegechty, Kahiskerowane, Tagunbuntee, Kaxbaayn, Kuchdachary, Saweegatee-o","Tsanandowa, Sineka, Onandago","Thomas Penn, James Logan, Samuel Preston, Ralph Asheton, Clement Plumsted, Thomas Griffitts","September 28, 1736",High,"standard book page, illustrated tapestry",English,,
TreatyofFriendshipwithSixNations_1737_BFranklin8.jpg,4,n/a,content page,"continued description of people present during council, declaration of friendship","Saguchsauyunt, Sunaretchy, Kanawatoe, Teeouchtseegherochgoo, Sariflagoa, Takashwangarorafor, Shekallamy, Sawnutaga, Tyeroi","Cayooges, Oneida, Tuskarore, Canyingo, Mohock","James Logan, Conrad Wyfer, William Penn",,High,standard book page,English,None of the Canyingo or Mohocks came,
TreatyofFriendshipwithSixNations_1737_BFranklin9.jpg,5,n/a,content page,"continued friendship description, list of present members in second council meeting",none,none,"James Logan, Samuel Preston, Anthony Palmer, Clement Plumseld, Thomas Lawrence, Ralph Asheton, Thomas Griffiths, Charles  Read, Thomas Penn","September 29, 1736; October 1736",High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin10.jpg,6,n/a,content page,description of council discussion,Kanickbungo,Six Nations,"ONAS, James Logan, Conrad Wyser",August 1732,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin11.jpg,7,n/a,content page,description of council discussion,none,none,none,none,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin12.jpg,8,n/a,content page,description of council discussion,None,"Onichkaryagoes, Siffaghees, Tioumitihagas, Attawantenis, Twechtwefe, Oachtamughs","James Logan, Samuel Preston, Anthony Palmer, Clement Plumseld, Thomas Lawrence, Ralph Asheton, Thomas Griffiths, Charles  Read, Thomas Penn","October 4, 1736; 1732",High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin13.jpg,9,n/a,content page,description of council discussion,Shekallamy,Six Nations,"James Logan, Samuel Preston, Samuel Hasell, Clement Plumseld, Thomas Lawrence, Charles Read, Thomas Griffiths","October 12, 1736; 1732",High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin14.jpg,10,n/a,content page,description of council discussion,none,Onandagoes,"James Logan, Samuel Preston, Samuel Hasell, Clement Plumseld, Thomas Lawrence, Charles Read, Thomas Griffiths","October 13, 1736",High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin15.jpg,11,n/a,content page,description of council discussion,none,none,none,none,High,standard book page,English,Trade discussions,
TreatyofFriendshipwithSixNations_1737_BFranklin16.jpg,12,n/a,content page,description of council discussion,none,none,"President, Governor of Maryland, Governor of Virginia, King of England","October 14, 1736",High,standard book page,English,Trade discussions,
TreatyofFriendshipwithSixNations_1737_BFranklin17.jpg,13,n/a,content page,description of council discussion,none,none,Governors of virginia and Maryland,none,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin18.jpg,14,n/a,content page,description of council discussion,none,none,"Governor of Maryland, King of England, Robert Charles",none,High,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin19.jpg,,n/a,blank page,none,none,none,none,none,n/a,standard book page,English,,
TreatyofFriendshipwithSixNations_1737_BFranklin20.jpg,,n/a,cover page,none,none,none,none,none,n/a,maroon book cover,English,,
,,,,,,,,,,,,,